Machine Learning,,
Calculus topic,CS topic,Rationale
Calculus I,,
Motivating the need for calculus & limits,Working with data,"Isaac Newton's development of core calculus ideas was in part inspired by his wish to understand laws of physics, as in Philosophiæ Naturalis Principia Mathematica. These laws were designed to be consistent with data. Gauss's work on predicting celestial mechanics from data is grounded in calculus. Some of the earliest roots of calculus are grounded in data analysis. "
Motivating the need for calculus & limits,Gradient descent,Computing derivatives is essential for gradient descent.
Motivating the need for calculus & limits,Regression,Regression often tries to minimize the function that represents the sum of squared errors. Finding the minima of a function involves computing derivatives.
Motivating the need for calculus & limits,Clustering,"In k-means, for instance, the key step is finding the mean of a collection of points, which corresponds to finding the point which minimizes the sum of squared differences."
Motivating the need for calculus & limits,Neural networks,"Backpropagation, which is used to train neural networks, is built on calculus."
Motivating the need for calculus & limits,Advanced Deep Learning,Advanced Deep Learning requires at least as much knowledge as Neural Networks.
Limits at infinity and infinite limits,Overfitting/underfitting,"Analyzing the limit of a sequence might come up when graphing a loss function in terms of a hyperparameter or epoch. For example, we might be interested to see if the loss converges or we might be interested in the points where the loss has a local minimum (a trough)."
Limits at infinity and infinite limits,Gradient descent,Gradient descent is esentially a sequence in the parameter space. We are interested in the convergence of that sequence towards a local minimum of the loss function.
Limits at infinity and infinite limits,Regularization,"In ridge/lasso regression, in the plot of standardized coefficients in terms of lambda, the coefficient curves will approach zero when lambda will approach infinity."
Limits at infinity and infinite limits,Learning theory,"Learning theory topics are typically focused on asymptotic behavior (for example, as the number of samples grows, will we converge on the right model?) This requires understanding the idea of a limit to infinity."
Motivating the need for the derivative and introducing the derivative concept,Gradient descent,"Gradient descent is based on gradient, which is a vector that consists of (partial) derivatives."
Motivating the need for the derivative and introducing the derivative concept,Model evaluation techniques,Understand the sensitivity of model predictions to input changes
Defining the derivative as a function,Gradient descent,"Understanding gradient descent requires understanding the idea of a gradient as a function that we can use to move along an error surface. Since the gradient generalizes a derivative, understanding the derivative as a function is also helpful here."
Defining the derivative as a function,Neural Networks,Autodifferentiation is key to backpropagation. It works because neural networks are compositions of basic functions with known derivatives.
Defining the derivative as a function,Advanced Deep Learning,Advanced Deep Learning requires at least as much knowledge as Neural Networks.
Basic differentiation rules,Gradient descent,Performing gradient descent requires calculating (partial) derivatives. This requires one to apply basic differentiation rules.
Basic differentiation rules,Regression problems,"To find the values that minimize the loss, we  need to be able to differentiate the loss function."
Basic differentiation rules,Classification problems,"For some particular models/algorithms used for classification, we typically use differentation to find the extreme values. For other models (for example, discrete models such decision trees), we do not use differentiation to find the extreme values."
Basic differentiation rules,Neural Networks,Autodifferentiation is key to backpropagation. It works because neural networks are compositions of basic functions with known derivatives.
Basic differentiation rules,Advanced Deep Learning,Advanced Deep Learning requires at least as much knowledge as Neural Networks.
Basic differentiation rules,Probabilistic models,"To fit something like Naïve Bayes, you need basic differentiation rules. (You also need Lagrange multipliers, but that is a Calc III topic.)"
Basic differentiation rules,Topic models,"Topic models are often fit with expectation maximization. Deriving the maximization step requires optimizing a function, often by taking the derivative."
Product and quotient rules,Gradient descent,"Performing gradient descent requires calculating (partial) derivatives. This requires one to apply basic differentiation rules, including product and quotient rules."
Trigonometric derivatives,Neural networks,When using sinusoidal and tanh activation functions
Trigonometric derivatives,Advanced Deep Learning,Advanced Deep Learning requires at least as much knowledge as Neural Networks.
Derivatives of logarithmic and exponential functions,Classification problems,"In logistic regression, we need to compute the derivative of the loss function, which is a function that involves exponentials and logs."
Chain rule,Neural networks,"Backpropagation updates the weights in a neural network using a process that is makes use of the chain rule. Autodifferentiation key to backpropagation, works because neural networks are compositions of basic functions with known derivatives."
Chain rule,Advanced Deep Learning,Advanced Deep Learning requires at least as much knowledge as Neural Networks.
Extreme values,Overfitting/underfitting,"Analyzing the limit of a sequence might come up when graphing a loss function in terms of a hyperparameter or epoch. For example, we might be interested to see if the loss converges or we might be interested in the points where the loss has a local minimum (a trough)."
Extreme values,Gradient descent,Gradient descent is esentially a sequence in the parameter space. We are interested in the convergence of that sequence towards a local minimum of the loss function.
Extreme values,Regression problems,"To fit a regression model, we need to optimize a loss function: find the parameter values that minimize the loss (or sometimes maximize the likelihood)"
Extreme values,Classification problems,"When using a classification model that is not a discrete model, we need to optimize a loss function or likelihood function, which requires finding the values of the parameters that achieve a min or max. No differentiation is needed when the model is discrete."
